tienda_id,producto_id,categoria,producto,stock_disponible,stock_minimo,precio_costo
T001,P001,Electronica,Smartphone,150,20,450.00
T001,P002,Electronica,Laptop,80,10,650.00
T001,P003,Ropa,Camiseta,200,30,18.00
T001,P004,Hogar,Aspiradora,50,5,120.00
T001,P005,Electronica,Auriculares,120,15,45.00
T002,P001,Electronica,Smartphone,100,20,450.00
T002,P002,Electronica,Laptop,60,10,650.00
T002,P003,Ropa,Camiseta,180,30,18.00
T002,P006,Hogar,Microondas,75,8,90.00
T002,P007,Ropa,Pantalon,140,20,30.00
T003,P001,Electronica,Smartphone,200,20,450.00
T003,P008,Electronica,Tablet,90,12,200.00
T003,P003,Ropa,Camiseta,250,30,18.00
T003,P009,Hogar,Cafetera,60,10,55.00
T003,P010,Ropa,Zapatos,100,15,50.00
T004,P001,Electronica,Smartphone,80,20,450.00
T004,P002,Electronica,Laptop,40,10,650.00
T004,P011,Ropa,Chaqueta,70,12,65.00
T004,P004,Hogar,Aspiradora,30,5,120.00
T004,P012,Electronica,Smartwatch,85,15,180.00
T005,P013,Electronica,Camara,45,8,320.00
T005,P014,Ropa,Vestido,120,18,42.00
T005,P015,Hogar,Licuadora,80,12,48.00
T005,P003,Ropa,Camiseta,190,30,18.00
T005,P016,Electronica,Parlante,95,14,85.00
T006,P001,Electronica,Smartphone,70,20,450.00
T006,P017,Hogar,Plancha,110,16,35.00
T006,P018,Ropa,Falda,130,20,24.00
T006,P019,Electronica,Mouse,200,25,15.00
T006,P020,Hogar,Tostadora,90,12,30.00
T007,P001,Electronica,Smartphone,120,20,450.00
T007,P002,Electronica,Laptop,70,10,650.00
T007,P021,Ropa,Sueter,110,16,38.00
T007,P022,Hogar,Ventilador,85,12,55.00
T007,P023,Electronica,Teclado,150,20,28.00
T008,P024,Electronica,Monitor,55,8,220.00
T008,P025,Ropa,Shorts,160,22,21.00
T008,P026,Hogar,Batidora,75,10,42.00
T008,P003,Ropa,Camiseta,220,30,18.00
T008,P027,Electronica,Cable USB,300,40,8.00
T009,P001,Electronica,Smartphone,45,20,450.00
T009,P028,Hogar,Freidora,35,6,125.00
T009,P029,Ropa,Calcetines,400,50,7.00
T009,P030,Electronica,Cargador,180,25,18.00
T009,P031,Hogar,Exprimidor,65,10,24.00
T010,P032,Electronica,Webcam,80,12,55.00
T010,P033,Ropa,Gorra,150,20,15.00
T010,P034,Hogar,Termo,140,18,22.00
T010,P035,Electronica,Powerbank,120,16,32.00
T010,P036,Ropa,Bufanda,180,25,12.00