tienda_id,cliente_id,puntuacion_satisfaccion,comentario,fecha_encuesta
T001,C001,85,Excelente servicio y productos de calidad,2024-01-20
T001,C002,78,Buena experiencia de compra,2024-01-21
T001,C003,92,Personal muy amable y atento,2024-01-22
T001,C004,88,Productos variados y buenos precios,2024-01-23
T001,C005,75,Tiempo de espera un poco largo,2024-01-24
T002,C006,65,Servicio regular podría mejorar,2024-01-20
T002,C007,72,Productos buenos pero falta variedad,2024-01-21
T002,C008,68,Atención al cliente mejorable,2024-01-22
T002,C009,70,Precios competitivos,2024-01-23
T002,C010,63,Experiencia promedio,2024-01-24
T003,C011,95,Excelente en todos los aspectos,2024-01-20
T003,C012,89,Muy satisfecho con la compra,2024-01-21
T003,C013,91,Personal capacitado y amable,2024-01-22
T003,C014,87,Buena relación calidad-precio,2024-01-23
T003,C015,93,Recomendaría esta tienda,2024-01-24
T004,C016,55,Servicio deficiente y lento,2024-01-20
T004,C017,48,Productos de baja calidad,2024-01-21
T004,C018,52,Personal poco capacitado,2024-01-22
T004,C019,58,Precios altos para la calidad,2024-01-23
T004,C020,45,Muy insatisfecho con la experiencia,2024-01-24
T005,C021,82,Buena experiencia general,2024-01-20
T005,C022,79,Productos de calidad,2024-01-21
T005,C023,85,Servicio eficiente,2024-01-22
T005,C024,77,Buena atención al cliente,2024-01-23
T005,C025,80,Satisfecho con la compra,2024-01-24
T006,C026,58,Servicio lento y desorganizado,2024-01-20
T006,C027,62,Falta de productos en stock,2024-01-21
T006,C028,55,Personal poco amable,2024-01-22
T006,C029,60,Precios elevados,2024-01-23
T006,C030,53,Experiencia por debajo de expectativas,2024-01-24
T007,C031,88,Excelente variedad de productos,2024-01-20
T007,C032,84,Personal muy profesional,2024-01-21
T007,C033,90,Rápida atención y buenos precios,2024-01-22
T007,C034,86,Muy satisfecho con el servicio,2024-01-23
T007,C035,82,Buena experiencia de compra,2024-01-24
T008,C036,76,Servicio aceptable,2024-01-20
T008,C037,73,Productos de calidad media,2024-01-21
T008,C038,78,Atención cordial,2024-01-22
T008,C039,74,Precios justos,2024-01-23
T008,C040,71,Experiencia satisfactoria,2024-01-24
T009,C041,42,Muy mal servicio,2024-01-20
T009,C042,38,Productos defectuosos,2024-01-21
T009,C043,45,Personal desatento,2024-01-22
T009,C044,40,Precios excesivos,2024-01-23
T009,C045,35,Pésima experiencia,2024-01-24
T010,C046,81,Buena atención y productos,2024-01-20
T010,C047,77,Servicio eficiente,2024-01-21
T010,C048,83,Personal amable y capacitado,2024-01-22
T010,C049,79,Buena relación calidad-precio,2024-01-23
T010,C050,85,Experiencia muy positiva,2024-01-24